type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text,spriteId,rotation,flipX,flipY
platforms,0,950,400,50,250,0,0,0,0,0,0,"",MetalFloor02,0,0,0
platforms,0,1200,400,50,250,0,0,0,0,0,0,"",MetalFloor02,180,0,0
platforms,0,1200,720,50,710,0,0,0,0,0,0,"",MetalFloor02,180,0,0
platforms,0,0,1380,200,150,0,0,0,0,0,0,"",MetalFloor01,0,0,0
platforms,0,500,1800,120,40,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,0,1700,400,60,0,0,0,0,0,0,"",MetalFloor01,0,0,0
platforms,0,350,1380,650,150,0,0,0,0,0,0,"",MetalFloor01,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
breakableBlocks,5,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
breakableBlocks,5,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
platforms,0,360,720,80,680,0,0,0,0,0,0,"",MetalFloor01,0,0,0
platforms,0,0,-680,40,680,0,0,0,0,0,0,"",MetalFloor02,180,0,0
platforms,0,1040,-680,40,680,0,0,0,0,0,0,"",MetalFloor02,0,0,0
platforms,0,0,-680,1080,40,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,250,450,100,50,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,1710,1400,330,60,0,0,0,0,0,0,"",MetalWall01,180,0,0
platforms,0,1200,1400,320,60,0,0,0,0,0,0,"",MetalWall01,180,0,0
platforms,0,2880,2100,120,200,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,3850,2100,600,200,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,1520,1640,160,80,0,0,0,0,0,0,"",MetalFloor01,0,0,0
deathBlocks,43,900,2300,500,50,0,0,0,0,0,0,"",None,0,0,0
deathBlocks,43,2350,2300,250,50,0,0,0,0,0,0,"",None,0,0,0
spikeBouncers,44,3880,2080,580,40,0,-300,0,0,0,0,"",Vent,0,0,0
platforms,0,3880,1920,100,40,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,4080,1920,380,40,0,0,0,0,0,0,"",MetalWall01,0,0,0
deathBlocks,43,4640,2400,1520,80,0,0,0,0,0,0,"",None,0,0,0
platforms,0,1340,2100,360,200,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,900,2100,460,200,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,0,1520,40,200,0,0,0,0,0,0,"",PipeCorner,0,0,0
platforms,0,0,1760,40,340,0,0,0,0,0,0,"",PipeCorner,0,0,0
breakableBlocks,5,1520,1400,200,60,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,200,1900,50,50,0,0,0,0,0,0,"",None,0,0,0
