type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text,spriteId,rotation,flipX,flipY
platforms,0,1000,500,100,100,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1400,500,200,100,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
hazards,2,1500,470,90,30,0,0,0,0,0,0,"",Door,0,0,0
hazards,2,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
hazards,2,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
hazards,2,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
breakableBlocks,5,1200,200,50,50,0,0,0,0,0,0,"",None,0,0,0
breakableBlocks,5,1300,200,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,1250,200,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,2750,400,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,4550,330,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
movePlatformsX,20,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
exitDoors,37,6080,460,90,140,4,0,0,0,0,0,"",Exitdoor_1,0,0,0
platforms,0,0,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,300,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,600,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,900,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
decorSprites,54,380,320,280,320,0,0,0,0,0,0,"",Fence,0,0,0
platforms,0,1100,400,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1200,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1500,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,2440,600,420,320,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,2080,600,360,260,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1800,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,3200,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,2840,600,370,270,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,3500,600,300,200,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,2400,400,100,200,0,0,0,0,0,0,"",ground1,0,0,0
platforms,0,2800,400,100,200,0,0,0,0,0,0,"",ground1,0,0,0
platforms,0,4000,450,200,350,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,4450,500,200,300,0,0,0,0,0,0,"",ground2,0,0,0
respawn,39,3700,450,50,50,0,0,0,0,0,0,"",None,0,0,0
deathBlocks,43,3680,1040,1920,80,0,0,0,0,0,0,"",None,0,0,0
deathBlocks,43,6320,1120,1920,80,0,0,0,0,0,0,"",None,0,0,0
deathBlocks,43,-1040,880,1920,80,0,0,0,0,0,0,"",None,0,0,0
platforms,0,-80,-720,80,1520,0,0,0,0,0,0,"",None,0,0,0
platforms,0,5240,600,320,200,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,5560,600,320,200,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,5880,600,320,200,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,6200,600,320,200,0,0,0,0,0,0,"",ground2,0,0,0
respawn,39,4480,240,320,200,0,0,0,0,0,0,"",None,0,0,0
platforms,0,5040,600,320,200,0,0,0,0,0,0,"",ground2,0,0,0
[ENEMIES]
enemyTypeId,posX,posY,p0,p1,p2,p3,p4,p5
0,760,560,100,200,0,0,0,0
0,2640,520,100,100,0,0,0,0
1,4080,240,80,100,0,0,0,0
