type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text,spriteId,rotation,flipX,flipY
platforms,0,400,200,200,60,0,0,0,0,0,0,"",MetalWall01,0,0,0
platforms,0,1000,300,200,60,0,0,0,0,0,0,"",MetalWall01,0,0,0
exitDoors,37,400,400,170,210,1,0,0,0,0,0,"",Exitdoor_1,0,0,0
exitDoors,37,470,100,60,100,5,0,0,0,0,0,"",None,0,0,0
exitDoors,37,1020,100,160,200,2,0,0,0,0,0,"",Exitdoor_2,0,0,0
exitDoors,37,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
exitDoors,37,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
exitDoors,37,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
decorSprites,54,400,300,150,100,0,0,0,0,0,0,"",Stage_2,0,0,0
platforms,0,270,100,140,100,0,0,0,0,0,0,"",Stage_4,0,0,0
cursorPlatforms,15,720,400,120,40,200,300,0,0,0,0,"",move,0,0,0
decorSprites,54,1030,-10,160,120,0,0,0,0,0,0,"",Stage_3,0,0,0
magnets,16,1390,30,40,50,50,200,0,0,0,0,"",None,0,0,0
respawn,39,1200,480,40,50,0,0,0,0,0,0,"",None,0,0,0
platforms,0,2150,310,150,50,0,0,0,0,0,0,"",None,0,0,0
magnets,16,1710,30,40,50,60,200,0,0,0,0,"",None,0,0,0
magnets,16,1980,30,40,50,60,200,0,0,0,0,"",None,0,0,0
platforms,0,0,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,190,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,380,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,580,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,770,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,960,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1150,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1340,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1530,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1720,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,1900,600,200,150,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,0,720,2560,1200,0,0,0,0,0,0,"",ground1,0,0,0
[ENEMIES]
enemyTypeId,posX,posY,p0,p1,p2,p3,p4,p5
